ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,820,NA,US,US-IL,Kings,00IS,,00IS
00KS,small_airport,Hayden Farm Airport,38.72779846,-94.93049622,1100,NA,US,US-KS,Gardner,00KS,,00KS
00KY,small_airport,Robbins Roost Airport,37.40940094,-84.61969757,1265,NA,US,US-KY,Stanford,00KY,,00KY
00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15,NA,US,US-LA,Gonzales,00LA,,00LA
00LL,heliport,Ac & R Components Heliport,39.66529846,-89.70559692,600,NA,US,US-IL,Chatham,00LL,,00LL
00LS,small_airport,Lejeune Airport,30.13629913,-92.42939758,12,NA,US,US-LA,Esterwood,00LS,,00LS
00MD,small_airport,Slater Field,38.75709915,-75.75379944,45,NA,US,US-MD,Federalsburg,00MD,,00MD
00MI,heliport,Dow Chemical Heliport,43.94940186,-86.41670227,588,NA,US,US-MI,Ludington,00MI,,00MI
00MN,small_airport,Battle Lake Municipal Airport,46.29999924,-95.70030212,1365,NA,US,US-MN,Battle Lake,00MN,,00MN
00MO,small_airport,Cooper Flying Service Airport,37.20280075,-94.41239929,970,NA,US,US-MO,Alba,00MO,,00MO
00MT,small_airport,Sands Ranch Airport,48.53749847,-109.7050018,2600,NA,US,US-MT,Havre,00MT,,00MT
00N,small_airport,Bucks Airport,39.47320175,-75.18520355,105,NA,US,US-NJ,Bridgeton,00N,,00N
00NC,small_airport,North Raleigh Airport,36.08520126,-78.37139893,348,NA,US,US-NC,Louisburg,00NC,,00NC
00NJ,heliport,Colgate-Piscataway Heliport,40.52090073,-74.47460175,78,NA,US,US-NJ,New Brunswick,00NJ,,00NJ
00NY,small_airport,Weiss Airfield,42.90010071,-77.49970245,1000,NA,US,US-NY,West Bloomfield,00NY,,00NY
00OH,small_airport,Exit 3 Airport,41.59090042,-84.14219666,785,NA,US,US-OH,Wauseon,00OH,,00OH
00OI,heliport,Miami Valley Hospital Heliport,39.74530029,-84.18740082,905,NA,US,US-OH,Dayton,00OI,,00OI
00OR,heliport,Steel Systems Heliport,44.93289948,-123.1299973,195,NA,US,US-OR,Salem,00OR,,00OR
00PA,heliport,R J D Heliport,39.94889832,-75.74690247,402,NA,US,US-PA,Coatesville,00PA,,00PA
00PN,small_airport,Ferrell Field,41.2995,-80.211111,1301,NA,US,US-PA,Mercer,00PN,,00PN
00PS,small_airport,Thomas Field,40.37779999,-77.36530304,815,NA,US,US-PA,Loysville,00PS,,00PS
00S,small_airport,Mc Kenzie Bridge State Airport,44.18320084,-122.0889969,1620,NA,US,US-OR,Mc Kenzie Bridge,00S,,00S
00SC,small_airport,Flying O Airport,34.00939941,-80.26719666,150,NA,US,US-SC,Sumter,00SC,,00SC
00TA,heliport,Sw Region Faa Heliport,32.82690048,-97.30580139,598,NA,US,US-TX,Fort Worth,00TA,,00TA
00TE,heliport,Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989,600,NA,US,US-TX,Fort Worth,00TE,,00TE
00TN,small_airport,Ragsdale Road Airport,35.51589966,-85.95359802,1100,NA,US,US-TN,Manchester,00TN,,00TN
00TS,small_airport,Alpine Range Airport,32.60760117,-97.24199677,670,NA,US,US-TX,Everman,00TS,,00TS
00TX,heliport,San Jacinto Methodist Hospital Heliport,29.73769951,-94.98020172,19,NA,US,US-TX,Baytown,00TX,,00TX
00UT,closed,Clear Creek Ranch Airport,37.24779892,-112.8219986,6138,NA,US,US-UT,Kanab,00UT,,00UT
00VA,small_airport,Vaughan Airport,36.57600021,-78.9991684,551,NA,US,US-VA,Alton,00VA,,00VA
00VI,small_airport,Groundhog Mountain Airport,36.66329956,-80.49949646,2680,NA,US,US-VA,Hillsville,00VI,,00VI
00W,small_airport,Lower Granite State Airport,46.67350006,-117.4430008,719,NA,US,US-WA,Colfax,00W,,00W
00WA,small_airport,Howell Airport,47.17839813,-122.7720032,150,NA,US,US-WA,Longbranch,00WA,,00WA
00WI,small_airport,Northern Lite Airport,44.3042984,-89.05010223,860,NA,US,US-WI,Waupaca,00WI,,00WI
00WN,small_airport,Hawks Run Airport,46.25,-117.2490005,2900,NA,US,US-WA,Asotin,00WN,,00WN
00WV,small_airport,Lazy J. Aerodrome,38.82889938,-79.8660965,2060,NA,US,US-WV,Beverly,00WV,,00WV
00XS,small_airport,L P Askew Farms Airport,33.03340149,-101.9339981,3110,NA,US,US-TX,O'Donnell,00XS,,00XS
01A,small_airport,Purkeypile Airport,62.9435997,-152.2700043,1950,NA,US,US-AK,Purkeypile,01A,,01A
01AK,heliport,Providence Seward Medical Center Heliport,60.10587398,-149.446249,120,NA,US,US-AK,Seward,01AK,,01AK
01AL,small_airport,Ware Island Airport,32.94599915,-86.51390076,344,NA,US,US-AL,Clanton,01AL,,01AL
01AR,heliport,Community Hospital of De Queen Heliport,34.04729843,-94.35489655,400,NA,US,US-AR,De Queen,01AR,,01AR
01AZ,heliport,Yat Heliport,34.60810089,-111.8649979,3300,NA,US,US-AZ,Camp Verde,01AZ,,01AZ
01C,small_airport,Grant Airport,43.34170151,-85.77500153,815,NA,US,US-MI,Grant,01C,,01C
01CA,heliport,Lugo Substation Heliport,34.36824059,-117.3700587,3733,NA,US,US-CA,Hesperia,01CA,,01CA
01CL,small_airport,Swansboro Country Airport,38.79990005,-120.7340012,2594,NA,US,US-CA,Placerville,01CL,,01CL
01CN,heliport,Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993,300,NA,US,US-CA,Los Angeles,01CN,,01CN
01CO,heliport,St Vincent General Hospital Heliport,39.24530029,-106.2460022,10175,NA,US,US-CO,Leadville,01CO,,01CO
01CT,heliport,Berlin Fairgrounds Heliport,41.62730026,-72.72750092,60,NA,US,US-CT,Berlin,01CT,,01CT
01FA,small_airport,Rybolt Ranch Airport,28.58939934,-81.14420319,55,NA,US,US-FL,Orlando,01FA,,01FA
01FD,heliport,Florida Hospital-Altamonte Heliport,28.66640091,-81.37059784,86,NA,US,US-FL,Altamonte Springs,01FD,,01FD
01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.78190041,-81.15920258,19,NA,US,US-FL,Geneva,01FL,,01FL
01GA,heliport,Medical Center Heliport,32.47930145,-84.97910309,319,NA,US,US-GA,Columbus,01GA,,01GA
01GE,small_airport,The Farm Airport,32.67440033,-82.77110291,375,NA,US,US-GA,Wrightsville,01GE,,01GE
01IA,small_airport,Stender Airport,41.66109848,-90.74130249,725,NA,US,US-IA,Maysville,01IA,,01IA
01ID,small_airport,Lava Hot Springs Airport,42.60820007,-112.0319977,5268,NA,US,US-ID,Lava Hot Springs,01ID,,01ID
01II,small_airport,Myers Field,39.88499832,-86.50669861,950,NA,US,US-IN,Lizton,01II,,01II
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012,583,NA,US,US-IL,Hoopeston,01IL,,01IL
01IN,heliport,Community Hospital Heliport,40.13090134,-85.69580078,890,NA,US,US-IN,Anderson,01IN,,01IN
01IS,small_airport,William E. Koenig Airport,39.01620102,-90.31819916,670,NA,US,US-IL,Dow,01IS,,01IS
01J,small_airport,Hilliard Airpark,30.68630028,-81.90570068,59,NA,US,US-FL,Hilliard,01J,,01J
01K,small_airport,Caldwell Municipal Airport,37.03609848,-97.58640289,1157,NA,US,US-KS,Caldwell,01K,,01K
01KS,small_airport,Flying N Ranch Airport,38.54059982,-97.00330353,1485,NA,US,US-KS,Lost Springs,01KS,,01KS
01KY,heliport,Lourdes Hospital Heliport,37.05170059,-88.64689636,419,NA,US,US-KY,Paducah,01KY,,01KY
01LA,small_airport,Barham Airport,32.63899994,-91.7736969,90,NA,US,US-LA,Oak Ridge,01LA,,01LA
01LL,small_airport,Schumaier Restricted Landing Area,38.12580109,-89.46389771,555,NA,US,US-IL,Pinckneyville,01LL,,01LL
01LS,small_airport,Country Breeze Airport,30.70599937,-91.07740021,125,NA,US,US-LA,Slaughter,01LS,,01LS
01MA,heliport,Compaq Andover Heliport,42.62509918,-71.18009949,140,NA,US,US-MA,Andover,01MA,,01MA
01MD,seaplane_base,Annapolis Seaplane Base,38.99919891,-76.45600128,,NA,US,US-MD,Annapolis,01MD,,01MD
01ME,seaplane_base,Saint Peter's Seaplane Base,46.77890015,-68.50029755,608,NA,US,US-ME,Portage Lake,01ME,,01ME
01MI,heliport,Flow Through Terminal Heliport,43.04949951,-83.67970276,736,NA,US,US-MI,Flint,01MI,,01MI
01MN,seaplane_base,Barnes Seaplane Base,47.89960098,-92.55740356,1358,NA,US,US-MN,Cook,01MN,,01MN
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,615,NA,US,US-MO,Town and Country,01MO,,01MO
01MT,small_airport,Crystal Lakes Resort Airport,48.78910065,-114.8799973,3141,NA,US,US-MT,Fortine,01MT,,01MT
01NC,small_airport,Topsail Airpark,34.47529984,-77.58139801,65,NA,US,US-NC,Holly Ridge,01NC,,01NC
01NE,small_airport,Detour Airport,40.84360123,-100.6529999,3000,NA,US,US-NE,Wellfleet,01NE,,01NE
01NH,small_airport,Moore Airfield,43.64450073,-72.08699799,835,NA,US,US-NH,Enfield,01NH,,01NH
01NJ,heliport,Albert Guido Memorial Heliport,40.7417984,-74.13710022,10,NA,US,US-NJ,Newark,01NJ,,01NJ
01NM,small_airport,Champion Ranch Airport,33.008611,-104.540278,3630,NA,US,US-NM,Artesia,01NM,,01NM
01NV,small_airport,Lantana Ranch Airport,38.76390076,-119.0270004,4600,NA,US,US-NV,Yerington,01NV,,01NV
01NY,heliport,Vassar Hospital Heliport,41.70009995,-73.94960022,100,NA,US,US-NY,Poughkeepsie,01NY,,01NY
01OI,heliport,Galion Community Hospital Heliport,40.73059845,-82.8015976,1140,NA,US,US-OH,Galion,01OI,,01OI
01OK,small_airport,Lawrence Airport,35.29449844,-98.6364975,1525,NA,US,US-OK,Eakly,01OK,,01OK
01OR,small_airport,Red & White Flying Service Airport,43.11930084,-121.0449982,4346,NA,US,US-OR,Silver Lake,01OR,,01OR
01PA,heliport,Pine Heliport,40.6556015,-80.05090332,1215,NA,US,US-PA,Mars,01PA,,01PA
01PN,small_airport,Bierly(Personal Use) Airport,40.93059921,-77.73889923,960,NA,US,US-PA,Bellefonte,01PN,,01PN
01PS,small_airport,Nort's Resort Airport,41.59590149,-76.02960205,1040,NA,US,US-PA,Meshoppen,01PS,,01PS
01SC,small_airport,York Airport,35.03210068,-81.25279999,779,NA,US,US-SC,York,01SC,,01SC
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,630,NA,US,US-TX,Arlington,01TA,,01TA
01TE,small_airport,Smith Field,32.73759842,-96.4280014,505,NA,US,US-TX,Forney,01TE,,01TE
01TN,small_airport,Colonial Air Park,34.9958992,-89.73059845,370,NA,US,US-TN,Collierville,01TN,,01TN
01TS,heliport,St Joseph Hospital Heliport,32.72850037,-97.32450104,675,NA,US,US-TX,Fort Worth,01TS,,01TS
01TX,small_airport,Mims Farm Ultralightport,32.38759995,-96.87750244,610,NA,US,US-TX,Waxahachie,01TX,,01TX
01U,small_airport,Duckwater Airport,38.85160065,-115.6340027,5124,NA,US,US-NV,Duckwater,01U,,01U
01UT,small_airport,La Sal Junction Airport,38.30830002,-109.3960037,6000,NA,US,US-UT,La Sal,01UT,,01UT
01VA,small_airport,Pickles Airport,39.125,-77.92500305,500,NA,US,US-VA,Berryville,01VA,,01VA
01WA,heliport,Willapa Harbor Heliport,46.66320038,-123.8119965,154,NA,US,US-WA,South Bend,01WA,,01WA
01WI,small_airport,Prehn Cranberry Company Airport,44.00999832,-90.3891983,930,NA,US,US-WI,Tomah,01WI,,01WI
01WN,heliport,Whidbey General Hospital Heliport,48.21340179,-122.6849976,103,NA,US,US-WA,Coupeville,01WN,,01WN
01WT,heliport,Odyssey Heliport,47.518178,-122.210908,20,NA,US,US-WA,Renton,01WT,,01WT
01WY,small_airport,Keyhole Airport,44.34719849,-104.810997,4250,NA,US,US-WY,Moorcroft,01WY,,01WY
01XA,heliport,Seton Medical Center Hays Heliport,30.007222,-97.853333,715,NA,US,US-TX,Kyle,01XA,,01XA
01XS,heliport,Meadowood Ranch Heliport,32.02019882,-95.74549866,500,NA,US,US-TX,Athens,01XS,,01XS
02AK,small_airport,Rustic Wilderness Airport,61.87689972,-150.0980072,190,NA,US,US-AK,Willow,02AK,,02AK
02AL,small_airport,Bass Field,30.37150002,-87.76439667,61,NA,US,US-AL,Foley,02AL,,02AL
02AR,small_airport,Three Rivers Airport,34.82244492,-92.44441986,264,NA,US,US-AR,Little Rock,02AR,,02AR
02AZ,small_airport,Winchester Farm Airstrip,32.37639999,-109.9369965,4200,NA,US,US-AZ,Willcox,02AZ,,02AZ
02CA,heliport,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,122,NA,US,US-CA,Huntington Beach,02CA,,02CA
02CD,small_airport,Shannon Field,34.12960052,-90.52400208,165,NA,US,US-MS,Clarksdale,02CD,,02CD
02CL,small_airport,Conover Air Lodge Airport,34.76110077,-119.0589981,5160,NA,US,US-CA,Frazier Park,02CL,,02CL
02CO,small_airport,Mc Cullough Airport,37.6432991,-106.0469971,7615,NA,US,US-CO,Monte Vista,02CO,,02CO
02CT,heliport,Strangers Point Heliport,41.91960144,-72.44450378,540,NA,US,US-CT,Ellington,02CT,,02CT
02FA,small_airport,Osborn Airfield,28.52669907,-81.87480164,121,NA,US,US-FL,Groveland,02FA,,02FA
02FL,small_airport,Cuchens Airport,30.642778,-86.123889,215,NA,US,US-FL,Defuniak Springs,02FL,,02FL
02GA,small_airport,Doug Bolton Field,34.20259857,-83.42900085,884,NA,US,US-GA,Commerce,02GA,,02GA
02GE,small_airport,Etowah Fields Airport,34.1753006,-84.92440033,710,NA,US,US-GA,Euharlee,02GE,,02GE
02HI,heliport,K3 Helipad Heliport,21.36199951,-157.951004,9,NA,US,US-HI,Pearl Harbor,02HI,,02HI
02IA,heliport,Boone County Hospital Heliport,42.05609894,-93.87799835,1160,NA,US,US-IA,Boone,02IA,,02IA
02ID,small_airport,Morgan Ranch Airport,44.55550003,-115.3050003,5634,NA,US,US-ID,Cascade,02ID,,02ID
02II,small_airport,King Ultralightport,40.06230164,-86.21050262,925,NA,US,US-IN,Westfield,02II,,02II
02IN,small_airport,Diamond P. Field,40.20890045,-85.540802,904,NA,US,US-IN,Muncie,02IN,,02IN
02IS,heliport,Condell Medical Center Heliport,42.27460098,-87.95729828,762,NA,US,US-IL,Libertyville,02IS,,02IS
02KS,small_airport,Jmj Landing Airport,39.22219849,-96.05529785,1170,NA,US,US-KS,St Marys,02KS,,02KS
02KY,heliport,Boone National Guard Heliport,38.1833992,-84.89990234,760,NA,US,US-KY,Frankfort,02KY,,02KY
02LA,heliport,La State Police Troop G Heliport,32.53129959,-93.66020203,168,NA,US,US-LA,Bossier City,02LA,,02LA
02LS,heliport,Windy Hill Heliport,30.14830017,-91.91899872,25,NA,US,US-LA,Broussard,02LS,,02LS
02MA,heliport,Cuttyhunk Heliport,41.41960144,-70.92700195,9,NA,US,US-MA,Gosnold,02MA,,02MA
02ME,small_airport,Old Acton Airfield,43.53730011,-70.92939758,700,NA,US,US-ME,Acton,02ME,,02ME
02MI,small_airport,Fairplains Airpark,43.15710068,-85.14849854,850,NA,US,US-MI,Greenville,02MI,,02MI
02MN,small_airport,Greenbush Municipal Airport,48.68330002,-96.19200134,1070,NA,US,US-MN,Greenbush,02MN,,02MN
02MO,small_airport,Troy Airpark,39.04999924,-91.03350067,650,NA,US,US-MO,Troy,02MO,,02MO
02MS,small_airport,Watts Field,34.10010147,-90.84680176,153,NA,US,US-MS,Rochdale,02MS,,02MS
02MT,small_airport,Barrett Field,47.23740005,-111.7419968,3350,NA,US,US-MT,Cascade,02MT,,02MT
02MU,small_airport,Timber Line Airpark,36.65420151,-93.79740143,1550,NA,US,US-MO,Cassville,02MU,,02MU
02NC,heliport,Race City Heliport,35.541111,-80.597778,809,NA,US,US-NC,Landis,02NC,,02NC
02NE,small_airport,Benes Service Airport,41.07450104,-96.90450287,1550,NA,US,US-NE,Valparaiso,02NE,,02NE
02NH,seaplane_base,Iroquois Landing Seaplane Base,44.65710068,-71.21910095,1180,NA,US,US-NH,Dummer,02NH,,02NH
02NJ,heliport,Penske Heliport,40.55730057,-74.46710205,78,NA,US,US-NJ,Piscataway,02NJ,,02NJ
02NV,small_airport,Paiute Meadows Airport,41.30329895,-118.5979996,4443,NA,US,US-NV,Winnemucca,02NV,,02NV
02NY,heliport,Hansen Heliport,43.13259888,-75.65550232,435,NA,US,US-NY,Durhamville,02NY,,02NY
02OH,small_airport,Zimmerman Airport,41.37639999,-83.08329773,614,NA,US,US-OH,Fremont,02OH,,02OH
02OI,small_airport,Murtha Airport,41.80199814,-80.56539917,950,NA,US,US-OH,Conneaut,02OI,,02OI
02OK,heliport,Canon Heliport,35.45840073,-97.52529907,1191,NA,US,US-OK,Oklahoma City,02OK,,02OK
02OR,small_airport,Rowena Dell Airport,45.68149948,-121.3160019,705,NA,US,US-OR,The Dalles,02OR,,02OR
02P,heliport,Stottle Memorial Heliport,40.40359879,-77.55660248,591,NA,US,US-PA,Honey Grove,02P,,02P
02PA,heliport,Lag Iii Heliport,40.43830109,-79.76999664,1070,NA,US,US-PA,Monroeville,02PA,,02PA
02PN,heliport,Peco Berwyn Heliport,40.06959915,-75.4552002,390,NA,US,US-PA,Berwyn,02PN,,02PN
02PR,small_airport,Cuylers Airport,18.45330048,-66.36689758,15,NA,PR,PR-U-A,Vega Baja,02PR,,02PR
02PS,small_airport,Hughes Ultralightport,41.90060043,-77.2303009,1700,NA,US,US-PA,Tioga,02PS,,02PS
02SC,small_airport,Harpers Airport,32.75849915,-81.22480011,111,NA,US,US-SC,Estill,02SC,,02SC
02T,small_airport,Wise River Airport,45.76910019,-112.9820023,5830,NA,US,US-MT,Wise River,02T,,02T
02TA,heliport,Matagorda Shore Facility Heliport,28.72139931,-95.87380219,5,NA,US,US-TX,Matagorda,02TA,,02TA
02TE,heliport,Baylor Medical Center Heliport,32.395401,-96.86419678,560,NA,US,US-TX,Waxahachie,02TE,,02TE
02TN,small_airport,Ellis Field,35.7806015,-86.584198,840,NA,US,US-TN,Murfreesboro,02TN,,02TN
02TS,heliport,Fwomc Heliport,32.74760056,-97.37000275,684,NA,US,US-TX,Fort Worth,02TS,,02TS
02TX,small_airport,The Palms At Kitty Hawk Airport,33.37040329,-101.9228821,3235,NA,US,US-TX,New Home,02TX,,02TX
02UT,small_airport,Lucin Airport,41.36629868,-113.8430023,4412,NA,US,US-UT,Lucin,02UT,,02UT
02VA,small_airport,The Greenhouse Airport,38.43569946,-77.85720062,320,NA,US,US-VA,Culpeper,02VA,,02VA
02VG,heliport,Northstar Aviation Heliport,36.63880157,-82.11669922,1850,NA,US,US-VA,Bristol,02VG,,02VG
02WA,small_airport,Cawleys South Prairie Airport,47.15230179,-122.0940018,690,NA,US,US-WA,South Prairie,02WA,,02WA
02WI,small_airport,Beer Airport,45.0318985,-92.65579987,920,NA,US,US-WI,Hudson,02WI,,02WI
02WN,small_airport,Fowler Field,48.74580002,-119.3190002,2150,NA,US,US-WA,Tonasket,02WN,,02WN
02XS,small_airport,Seidel Ranch Airport,30.14769936,-97.66280365,510,NA,US,US-TX,Elroy,02XS,,02XS
03AK,seaplane_base,Joe Clouds Seaplane Base,60.72722244,-151.132782,150,NA,US,US-AK,Kenai,03AK,,03AK
03AL,heliport,Jackson County Hospital Heliport,34.66249847,-86.04720306,628,NA,US,US-AL,Scottsboro,03AL,,03AL
03AR,heliport,Hscmh Heliport,34.35760117,-92.78849792,350,NA,US,US-AR,Malvern,03AR,,03AR
03AZ,small_airport,Thompson International Aviation Airport,31.4333992,-110.0839996,4275,NA,US,US-AZ,Hereford,03AZ,,03AZ
03CA,heliport,Grossmont Hospital Heliport,32.77980042,-117.0059967,634,NA,US,US-CA,La Mesa,03CA,,03CA
03CO,small_airport,Kugel-Strong Airport,40.21250153,-104.7440033,4950,NA,US,US-CO,Platteville,03CO,,03CO
03FA,small_airport,Lake Persimmon Airstrip,27.35309982,-81.40809631,70,NA,US,US-FL,Lake Placid,03FA,,03FA
03FD,small_airport,Tharpe Airport,30.8288002,-85.73100281,115,NA,US,US-FL,Bonifay,03FD,,03FD
03FL,heliport,Ranger Heliport,26.68370056,-80.18730164,20,NA,US,US-FL,West Palm Beach,03FL,,03FL
03I,small_airport,Clarks Dream Strip,39.64419937,-83.01820374,680,NA,US,US-OH,Circleville,03I,,03I
03IA,small_airport,East Field,41.58190155,-92.46130371,954,NA,US,US-IA,Montezuma,03IA,,03IA
03ID,small_airport,Flying Y Ranch Airport,44.79430008,-116.5329971,3180,NA,US,US-ID,Council,03ID,,03ID
03II,small_airport,Davis Field Ultralightport,37.9620018,-87.77890015,465,NA,US,US-IN,Mount Vernon,03II,,03II
03IL,small_airport,Wix Airport,41.40230179,-87.8167038,750,NA,US,US-IL,Monee,03IL,,03IL
03IN,small_airport,Heinzman Airport,40.18000031,-86.01249695,850,NA,US,US-IN,Arcadia,03IN,,03IN
03IS,heliport,St Anthony's Hospital Heliport,38.90499878,-90.17340088,580,NA,US,US-IL,Alton,03IS,,03IS
03KS,heliport,Valley Grain Heliport,39.86470032,-95.26409912,1160,NA,US,US-KS,Highland,03KS,,03KS
03KY,small_airport,Flying H Farms Airport,37.79169846,-87.54139709,385,NA,US,US-KY,Henderson,03KY,,03KY
03LA,heliport,Damien Heliport,30.19960022,-91.12789917,25,NA,US,US-LA,Carville,03LA,,03LA
03LS,heliport,Fmc Nr 1 Heliport,32.1590004,-91.70800018,79,NA,US,US-LA,Winnsboro,03LS,,03LS
03M,seaplane_base,Lakeside Marina Seaplane Base,44.32089996,-69.88950348,165,NA,US,US-ME,East Winthrop,03M,,03M
03MA,small_airport,Hadley Airport,42.39310074,-72.55200195,150,NA,US,US-MA,Hadley,03MA,,03MA
03MD,heliport,Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983,302,NA,US,US-MD,Bel Air,03MD,,03MD
03ME,small_airport,Maple Ridge Airport,44.08420181,-70.62729645,556,NA,US,US-ME,Harrison,03ME,,03ME
03MI,heliport,Harold Miller Heliport,43.55089951,-83.86219788,585,NA,US,US-MI,Bay City,03MI,,03MI
03MN,small_airport,Nauerth Land Ranch Airport,43.62519836,-95.22470093,1435,NA,US,US-MN,Lakefield,03MN,,03MN
03MO,small_airport,Cahoochie Airport,37.8844986,-93.13159943,1010,NA,US,US-MO,Urbana,03MO,,03MO
03MS,heliport,Vicksburg Medical Center Heliport,32.31880188,-90.8832016,110,NA,US,US-MS,Vicksburg,03MS,,03MS
03MT,small_airport,Cascade Airport,47.27080154,-111.7220001,3580,NA,US,US-MT,Cascade,03MT,,03MT
03MU,small_airport,Mc Donnell Airport,38.49250031,-94.41249847,874,NA,US,US-MO,Archie,03MU,,03MU
03N,small_airport,Utirik Airport,11.22200012,169.852005,4,OC,MH,MH-UTI,Utirik Island,03N,UTK,03N
03NC,small_airport,Pilots Ridge Airport,34.10430145,-77.90419769,35,NA,US,US-NC,Carolina Beach,03NC,,03NC
03ND,small_airport,Olafson Brothers Airport,48.62639999,-97.82900238,1045,NA,US,US-ND,Edinburg,03ND,,03ND
03NE,small_airport,Hyde Ranch Airport,41.54639816,-99.33119965,2430,NA,US,US-NE,Comstock,03NE,,03NE
03NH,heliport,Lorden Heliport,42.81539917,-71.12439728,400,NA,US,US-NH,Milford,03NH,,03NH
03NJ,heliport,At&T Heliport,40.66870117,-74.41069794,360,NA,US,US-NJ,Berkely Heights,03NJ,,03NJ
03NV,small_airport,Llama Ranch Airport,40.58440018,-115.2979965,6120,NA,US,US-NV,Ruby Valley,03NV,,03NV
03NY,small_airport,Talmage Field,40.95840073,-72.71679688,95,NA,US,US-NY,Riverhead,03NY,,03NY
03OH,small_airport,Gibbs Field,41.41839981,-83.01740265,580,NA,US,US-OH,Fremont,03OH,,03OH
03OI,heliport,Marymount Hospital Heliport,41.42089844,-81.59980011,890,NA,US,US-OH,Garfield Heights,03OI,,03OI
03OK,small_airport,Sahoma Lake Airport,36.04119873,-96.16139984,890,NA,US,US-OK,Sapulpa,03OK,,03OK
03OR,small_airport,Powwatka Ridge Airport,45.85540009,-117.4840012,3340,NA,US,US-OR,Troy,03OR,,03OR
03PA,heliport,Collegeville Heliport,40.16289902,-75.46569824,197,NA,US,US-PA,Collegeville,03PA,,03PA
03PN,heliport,M.P. Metals Heliport,41.066861,-76.180806,479,NA,US,US-PA,Berwick,03PN,,03PN
03PS,small_airport,Ziggy's Field,40.84999847,-77.9056015,1050,NA,US,US-PA,Bellefonte,03PS,,03PS
03S,small_airport,Sandy River Airport,45.40179825,-122.2289963,704,NA,US,US-OR,Sandy,03S,,03S
03SC,heliport,Seacoast Medical Center Heliport,33.86500168,-78.66190338,73,NA,US,US-SC,Little River,03SC,,03SC
03TA,small_airport,Gay Hill Farm Airport,30.26269913,-96.50019836,505,NA,US,US-TX,Gay Hill,03TA,,03TA
03TE,small_airport,Barronena Ranch Airport,27.49110031,-98.66950226,600,NA,US,US-TX,Hebbronville,03TE,,03TE
03TN,heliport,Eagles Landing Heliport,35.92250061,-83.57939911,1000,NA,US,US-TN,Sevierville,03TN,,03TN
03TS,heliport,Shannon Medical Center Heliport,31.4598999,-100.4380035,1825,NA,US,US-TX,San Angelo,03TS,,03TS
03TX,heliport,M D K Field,29.58160019,-95.30719757,50,NA,US,US-TX,Pearland,03TX,,03TX
